MPN,Description,Manufacturer,MOQ_1,Price_1,MOQ_2,Price_2,PU,Leadtime
SK12,Schottky Rectifier 20V 1A SMA,Diotec,500,0.1044,200000,0.0992,500,28
SK13,Schottky Rectifier 30V 1A SMA,Diotec,7500,0.3601,120000,0.3421,7500,90
SK14,Schottky Rectifier 40V 1A SMA,Diotec,7500,0.5676,120000,0.5392,7500,56
SK15,Schottky Rectifier 50V 1A SMA,Diotec,500,0.3152,120000,0.2994,500,56
SK16,Schottky Rectifier 60V 1A SMA,Diotec,7500,0.7283,200000,0.6919,7500,28
SK18,Schottky Rectifier 80V 1A SMA,Diotec,7500,0.2692,200000,0.2557,7500,56
SK110,Schottky Rectifier 100V 1A SMA,Diotec,500,0.6466,500000,0.6143,500,90
SK22,Schottky Rectifier 20V 2A SMA,Diotec,7500,0.9248,500000,0.8786,7500,56
SK24,Schottky Rectifier 40V 2A SMA,Diotec,500,0.6391,120000,0.6071,500,28
SK32,Schottky Rectifier 20V 3A SMC,Diotec,500,0.5128,120000,0.4872,500,28
SK34,Schottky Rectifier 40V 3A SMC,Diotec,3000,0.8337,200000,0.792,3000,56
SK34B,Schottky Rectifier 40V 3A SMB,Diotec,500,0.3946,500000,0.3749,500,28
SK54,Schottky Rectifier 40V 5A SMB,Diotec,7500,0.7187,120000,0.6828,7500,28
SK84,Schottky Rectifier 40V 8A SMC,Diotec,7500,0.6625,200000,0.6294,7500,28
SB120,Schottky Rectifier 20V 1A DO41,Diotec,500,0.166,120000,0.1577,500,28
SB130,Schottky Rectifier 30V 1A DO41,Diotec,500,0.8203,200000,0.7793,500,56
SB140,Schottky Rectifier 40V 1A DO41,Diotec,500,0.36,120000,0.342,500,56
SB160,Schottky Rectifier 60V 1A DO41,Diotec,7500,0.0816,500000,0.0775,7500,28
SB320,Schottky Rectifier 20V 3A DO201,Diotec,500,0.2471,500000,0.2347,500,90
SB330,Schottky Rectifier 30V 3A DO201,Diotec,7500,0.2687,120000,0.2553,7500,90
SB340,Schottky Rectifier 40V 3A DO201,Diotec,500,0.9165,500000,0.8707,500,90
SB350,Schottky Rectifier 50V 3A DO201,Diotec,7500,0.8141,120000,0.7734,7500,28
SB360,Schottky Rectifier 60V 3A DO201,Diotec,3000,0.628,120000,0.5966,3000,90
SB390,Schottky Rectifier 90V 3A DO201,Diotec,500,0.6139,500000,0.5832,500,56
SB3100,Schottky Rectifier 100V 3A DO201,Diotec,3000,0.1782,120000,0.1693,3000,56
SB540,Schottky Rectifier 40V 5A DO201,Diotec,3000,0.8327,200000,0.7911,3000,28
SB560,Schottky Rectifier 60V 5A DO201,Diotec,7500,0.1865,200000,0.1772,7500,90
SB840,Schottky Rectifier 40V 8A DO201,Diotec,500,0.6969,120000,0.6621,500,90
1N4001,Standard Rectifier 50V 1A DO41,Diotec,7500,0.5281,120000,0.5017,7500,90
1N4002,Standard Rectifier 100V 1A DO41,Diotec,3000,0.9047,120000,0.8595,3000,90
1N4003,Standard Rectifier 200V 1A DO41,Diotec,7500,0.3421,500000,0.325,7500,28
1N4004,Standard Rectifier 400V 1A DO41,Diotec,500,0.5373,120000,0.5104,500,28
1N4005,Standard Rectifier 600V 1A DO41,Diotec,3000,0.2852,120000,0.2709,3000,90
1N4006,Standard Rectifier 800V 1A DO41,Diotec,7500,0.5283,120000,0.5019,7500,28
1N4007,Standard Rectifier 1000V 1A DO41,Diotec,7500,0.911,500000,0.8654,7500,28
1N5400,Standard Rectifier 50V 3A DO201,Diotec,3000,0.1108,500000,0.1053,3000,90
1N5401,Standard Rectifier 100V 3A DO201,Diotec,3000,0.7817,200000,0.7426,3000,28
1N5402,Standard Rectifier 200V 3A DO201,Diotec,3000,0.6645,200000,0.6313,3000,28
1N5404,Standard Rectifier 400V 3A DO201,Diotec,3000,0.9197,500000,0.8737,3000,56
1N5406,Standard Rectifier 600V 3A DO201,Diotec,7500,0.2524,200000,0.2398,7500,28
1N5407,Standard Rectifier 800V 3A DO201,Diotec,500,0.8804,500000,0.8364,500,56
1N5408,Standard Rectifier 1000V 3A DO201,Diotec,500,0.4704,500000,0.4469,500,28
S1A,Standard Rectifier 50V 1A SMA,Diotec,3000,0.7482,120000,0.7108,3000,56
S1B,Standard Rectifier 100V 1A SMA,Diotec,3000,0.8997,500000,0.8547,3000,90
S1D,Standard Rectifier 200V 1A SMA,Diotec,3000,0.3853,500000,0.366,3000,28
S1G,Standard Rectifier 400V 1A SMA,Diotec,500,0.3373,500000,0.3204,500,90
S1J,Standard Rectifier 600V 1A SMA,Diotec,500,0.4858,120000,0.4615,500,56
S1K,Standard Rectifier 800V 1A SMA,Diotec,7500,0.0913,200000,0.0867,7500,56
S1M,Standard Rectifier 1000V 1A SMA,Diotec,3000,0.5557,200000,0.5279,3000,28
S3M,Standard Rectifier 1000V 3A SMC,Diotec,500,0.0036,200000,0.0034,500,90
P600A,Standard Rectifier 50V 6A P600,Diotec,7500,0.192,120000,0.1824,7500,56
P600D,Standard Rectifier 200V 6A P600,Diotec,7500,0.844,120000,0.8018,7500,90
P600G,Standard Rectifier 400V 6A P600,Diotec,3000,0.6399,200000,0.6079,3000,28
P600K,Standard Rectifier 800V 6A P600,Diotec,3000,0.678,200000,0.6441,3000,28
P600M,Standard Rectifier 1000V 6A P600,Diotec,3000,0.5113,200000,0.4857,3000,28
ZPD2.7,Zener Diode 500mW 2.7V DO35,Diotec,500,0.9619,500000,0.9138,500,90
ZPD3.3,Zener Diode 500mW 3.3V DO35,Diotec,500,0.0165,500000,0.0157,500,90
ZPD4.7,Zener Diode 500mW 4.7V DO35,Diotec,500,0.8641,500000,0.8209,500,28
ZPD5.1,Zener Diode 500mW 5.1V DO35,Diotec,500,0.7791,200000,0.7401,500,28
ZPD5.6,Zener Diode 500mW 5.6V DO35,Diotec,3000,0.0078,120000,0.0074,3000,28
ZPD6.2,Zener Diode 500mW 6.2V DO35,Diotec,3000,0.9458,120000,0.8985,3000,28
ZPD6.8,Zener Diode 500mW 6.8V DO35,Diotec,7500,0.4582,120000,0.4353,7500,28
ZPD7.5,Zener Diode 500mW 7.5V DO35,Diotec,500,0.3703,200000,0.3518,500,28
ZPD8.2,Zener Diode 500mW 8.2V DO35,Diotec,3000,0.1396,500000,0.1326,3000,90
ZPD10,Zener Diode 500mW 10V DO35,Diotec,500,0.4863,500000,0.462,500,28
ZPD12,Zener Diode 500mW 12V DO35,Diotec,3000,0.4648,120000,0.4416,3000,90
ZPD15,Zener Diode 500mW 15V DO35,Diotec,500,0.9721,120000,0.9235,500,28
ZPD18,Zener Diode 500mW 18V DO35,Diotec,500,0.7558,120000,0.718,500,28
ZPD24,Zener Diode 500mW 24V DO35,Diotec,500,0.3146,200000,0.2989,500,90
ZPD30,Zener Diode 500mW 30V DO35,Diotec,3000,0.3768,500000,0.358,3000,56
ZMM2.7,Zener Diode 500mW 2.7V SOD80,Diotec,3000,0.3931,120000,0.3734,3000,90
ZMM3.3,Zener Diode 500mW 3.3V SOD80,Diotec,500,0.2017,500000,0.1916,500,56
ZMM4.7,Zener Diode 500mW 4.7V SOD80,Diotec,7500,0.1894,500000,0.1799,7500,28
ZMM5.1,Zener Diode 500mW 5.1V SOD80,Diotec,7500,0.1419,120000,0.1348,7500,90
ZMM5.6,Zener Diode 500mW 5.6V SOD80,Diotec,500,0.6809,120000,0.6469,500,28
ZMM6.2,Zener Diode 500mW 6.2V SOD80,Diotec,7500,0.1793,200000,0.1703,7500,90
ZMM6.8,Zener Diode 500mW 6.8V SOD80,Diotec,7500,0.5899,200000,0.5604,7500,28
ZMM7.5,Zener Diode 500mW 7.5V SOD80,Diotec,7500,0.6464,500000,0.6141,7500,56
ZMM8.2,Zener Diode 500mW 8.2V SOD80,Diotec,3000,0.3038,120000,0.2886,3000,56
ZMM10,Zener Diode 500mW 10V SOD80,Diotec,7500,0.5408,500000,0.5138,7500,28
ZMM12,Zener Diode 500mW 12V SOD80,Diotec,500,0.7939,200000,0.7542,500,56
ZMM15,Zener Diode 500mW 15V SOD80,Diotec,500,0.5394,500000,0.5124,500,90
ZMM18,Zener Diode 500mW 18V SOD80,Diotec,500,0.1757,120000,0.1669,500,90
ZMM24,Zener Diode 500mW 24V SOD80,Diotec,7500,0.3582,500000,0.3403,7500,28
ZMM30,Zener Diode 500mW 30V SOD80,Diotec,3000,0.301,120000,0.286,3000,28
ZPY1,Zener Diode 1.3W 1.0V DO41,Diotec,500,0.5655,120000,0.5372,500,90
ZPY6.2,Zener Diode 1.3W 6.2V DO41,Diotec,7500,0.5919,500000,0.5623,7500,28
ZPY10,Zener Diode 1.3W 10V DO41,Diotec,7500,0.375,200000,0.3562,7500,56
1N5345B,Zener Diode 5W 8.7V DO201,Diotec,500,0.4921,500000,0.4675,500,28
1N5352B,Zener Diode 5W 15V DO201,Diotec,7500,0.7291,120000,0.6926,7500,56
BC847A,NPN Transistor SOT23,Diotec,7500,0.1764,500000,0.1676,7500,28
BC847B,NPN Transistor SOT23,Diotec,500,0.5927,120000,0.5631,500,90
BC847C,NPN Transistor SOT23,Diotec,7500,0.9911,500000,0.9415,7500,28
BC857B,PNP Transistor SOT23,Diotec,500,0.9505,500000,0.903,500,90
2N7000,N-Channel MOSFET TO92,Diotec,500,0.2958,120000,0.281,500,90
2N7002,N-Channel MOSFET SOT23,Diotec,500,0.0481,120000,0.0457,500,90
BSS138,N-Channel MOSFET SOT23,Diotec,3000,0.3206,200000,0.3046,3000,90
BAV19,Switching Diode 120V DO35,Diotec,500,0.2606,200000,0.2476,500,56
BAV70,Switching Diode SOT23 Dual,Diotec,500,0.1644,500000,0.1562,500,90
BAW56,Switching Diode SOT23 Dual,Diotec,500,0.6642,200000,0.631,500,28
