MPN,Description,Manufacturer,MOQ_1,Price_1,MOQ_2,Price_2,PU,Leadtime
74HC00D,Quad 2-Input NAND Gate,NXP,3000,0.0699,120000,0.0664,3000,56
74HC04D,Hex Inverter,NXP,3000,0.9928,500000,0.9432,3000,90
74HC14D,Hex Schmitt Trigger Inverter,NXP,500,0.0548,120000,0.0521,500,90
74HC595D,8-Bit Shift Register with Output Latches,NXP,7500,0.8629,200000,0.8198,7500,56
74LVC1G08GW,Single 2-Input AND Gate,NXP,3000,0.6253,120000,0.594,3000,90
74LVC244APW,Octal Buffer/Line Driver (3-State),NXP,3000,0.2757,500000,0.2619,3000,28
74LVC4245APW,Octal Dual Supply Bus Transceiver,NXP,3000,0.13,500000,0.1235,3000,90
74AHCT125PW,Quad Buffer/Line Driver,NXP,3000,0.9615,200000,0.9134,3000,90
HEF4013BT,Dual D-Type Flip-Flop,NXP,7500,0.7043,120000,0.6691,7500,56
PCA9548APW,8-Channel I2C Switch with Reset,NXP,500,0.7584,200000,0.7205,500,56
PCA9685PW,16-Channel 12-bit PWM I2C Bus,NXP,7500,0.7449,200000,0.7077,7500,56
PCF8574TS,8-bit I/O Expander for I2C Bus,NXP,3000,0.8081,500000,0.7677,3000,90
PCA9306DC,Dual Bidirectional Voltage Translator,NXP,3000,0.4391,120000,0.4171,3000,56
TJA1042T,High-Speed CAN Transceiver,NXP,500,0.1374,500000,0.1305,500,90
TJA1051T,High-Speed CAN Transceiver (Standby),NXP,500,0.145,200000,0.1377,500,90
UJA1169ATK,Mini High-Speed CAN System Basis Chip,NXP,7500,0.4176,200000,0.3967,7500,56
SC16C652BIB,Dual UART with 32-Byte FIFO,NXP,500,0.8025,200000,0.7624,500,90
IP4223CZ6,ESD Protection for High-Speed Interfaces,NXP,3000,0.6563,200000,0.6235,3000,90
74AVCH4T245PW,4-bit Dual Supply Translating Transceiver,NXP,7500,0.1639,500000,0.1557,7500,28
NX5P3001UK,USB Load Switch with Overvoltage Prot,NXP,7500,0.9231,500000,0.8769,7500,90
2N7002,N-Channel 60V 300mA MOSFET,NXP,7500,0.2469,200000,0.2346,7500,28
BSS138,N-Channel 50V 360mA Logic MOSFET,NXP,7500,0.6131,120000,0.5824,7500,56
PMV16XNR,N-Channel 20V Trench MOSFET,NXP,7500,0.2065,120000,0.1962,7500,56
BC847B,NPN General Purpose Transistor,NXP,7500,0.4388,120000,0.4169,7500,90
BC857B,PNP General Purpose Transistor,NXP,7500,0.2614,120000,0.2483,7500,90
BAT54S,Schottky Barrier Diode (Dual),NXP,500,0.717,120000,0.6811,500,56
BAS16,High-Speed Switching Diode,NXP,3000,0.5421,120000,0.515,3000,28
BAV99,Dual Series Switching Diode,NXP,3000,0.0202,200000,0.0192,3000,56
BUK765R2-40B,TrenchPLUS N-Channel MOSFET,NXP,3000,0.4201,120000,0.3991,3000,28
PMBT3904,NPN 40V 200mA Transistor,NXP,7500,0.4336,500000,0.4119,7500,28
PMBT3906,PNP 40V 200mA Transistor,NXP,7500,0.3897,200000,0.3702,7500,90
BFG425W,NPN 25GHz Wideband RF Transistor,NXP,3000,0.1861,200000,0.1768,3000,28
BFR93A,NPN 6GHz Wideband RF Transistor,NXP,3000,0.8804,500000,0.8364,3000,90
BGA2800,MMIC Wideband Amplifier,NXP,7500,0.8855,120000,0.8412,7500,90
PESD5V0U1BA,Ultra Low Cap ESD Protection Diode,NXP,3000,0.8232,500000,0.782,3000,90
BZB84-B5V1,Dual Zener Diode 5.1V,NXP,7500,0.366,200000,0.3477,7500,28
NX3008NBK,N-Channel 30V MOSFET SOT23,NXP,7500,0.1031,200000,0.0979,7500,90
PMEG4010EJ,40V 1A Low V_f Schottky Barrier,NXP,3000,0.315,200000,0.2992,3000,90
PDTC143ZT,NPN Resistor-Equipped Transistor,NXP,7500,0.9929,500000,0.9433,7500,56
PEMI2STD,Integrated Filter Network w/ ESD,NXP,7500,0.9386,500000,0.8917,7500,28
MKL25Z128VLK4,Kinetis L ARM Cortex-M0+ 48MHz,NXP,500,0.329,200000,0.3126,500,90
MK64FN1M0VLL12,Kinetis K64 ARM Cortex-M4 120MHz,NXP,7500,0.0379,120000,0.036,7500,28
MC9S08PA8VLC,8-bit S08 Core 8KB Flash,NXP,500,0.5658,120000,0.5375,500,90
MIMXRT1021DAG5A,i.MX RT1020 Crossover MCU 500MHz,NXP,500,0.6112,500000,0.5806,500,28
MIMXRT1062DVJ6A,i.MX RT1060 Crossover MCU 600MHz,NXP,3000,0.922,200000,0.8759,3000,90
MIMX8MQ6DVAJZAB,i.MX 8M Quad Applications Processor,NXP,3000,0.6132,500000,0.5825,3000,28
MCIMX6Q5EYM10AD,i.MX 6Quad Processor 1.0GHz,NXP,500,0.2361,500000,0.2243,500,28
FS32K144HAT0MLHT,S32K144 Automotive MCU ARM M4F,NXP,3000,0.0736,500000,0.0699,3000,56
S32K312NHT0VPBST,S32K3 Automotive MCU ARM M7,NXP,3000,0.1761,200000,0.1673,3000,56
LPC1768FBD100,ARM Cortex-M3 MCU 100MHz,NXP,3000,0.619,120000,0.588,3000,90
LPC1114FBD48,ARM Cortex-M0 MCU 50MHz,NXP,7500,0.5809,120000,0.5519,7500,56
LPC55S69JBD100,ARM Cortex-M33 Dual Core MCU,NXP,7500,0.0659,120000,0.0626,7500,90
MKE02Z64VLD2,Kinetis E 5V ARM Cortex-M0+,NXP,500,0.2949,120000,0.2802,500,90
LS1043ASE7PQA,QorIQ Layerscape 4-core 1.5GHz,NXP,3000,0.9167,120000,0.8709,3000,28
MPC5744P,32-bit MCU for Safety/Chassis,NXP,7500,0.1478,200000,0.1404,7500,56
S12ZVL32F0MLF,16-bit MagniV Mixed-Signal MCU,NXP,3000,0.8461,120000,0.8038,3000,28
MKW41Z512VHT4,Kinetis W Bluetooth/Zigbee MCU,NXP,500,0.7398,200000,0.7028,500,28
JN5169/001,IEEE802.15.4 Wireless MCU,NXP,7500,0.5321,200000,0.5055,7500,28
NCF29A1,Remote Keyless Entry (RKE) IC,NXP,7500,0.8896,500000,0.8451,7500,28
PN5321A3HN,NFC Near Field Communication Contr,NXP,3000,0.1817,500000,0.1726,3000,90
